Unnamed: 0,date,competition_name,city,pool_length,distance,style,age_category,athlete,sex,age,club,time,points,place,fpm
263,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,35 - 39,ЗИНОВЬЕВ Андрей,м,39,АСМ,30.59,560,2,True
264,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,35 - 39,ЛОГИНОВ Антон,м,38,Гидра Мастерс,31.46,515,3,True
265,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,МУМИНОВ Диор,м,30,Гравити Спорт,25.91,871,1,True
266,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,ТОКАРЕВ Вадим,м,32,Гидра Мастерс,28.27,671,2,True
267,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,ФАЛИН Владимир,м,31,Летс Свим,28.80,634,3,True
268,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,ГОЛОВНИН Александр,м,30,Фитнес Хаус,29.09,615,4,True
269,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,ТИХОМИРОВ Александр,м,34,Гравити Спорт,29.10,615,5,True
270,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,БАХАРЕВ Григорий,м,33,Гидра Мастерс,29.65,581,6,True
271,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,30 - 34,ПРОКОФЬЕВ Павел,м,34,Гидра Мастерс,31.76,473,7,True
272,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,25 - 29,МАНАКОВ Игорь,м,29,Плыви Москва,29.50,558,2,True
273,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,25 - 29,ЯРОПОЛОВ Дмитрий,м,27,АСМ,30.92,484,3,True
274,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,На спине ,25 - 29,МУСАЕВ Элвин,м,26,Спрут,33.15,393,4,True
275,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,65 - 69,НАГОВИЦЫНА Лариса,ж,66,Цунами,3:05.20,878,1,True
276,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,60 - 64,ПУГАЧЕВА Мария,ж,61,Невские звёзды,3:40.30,417,1,True
277,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,55 - 59,ПРЕСНЯКОВА Светлана,ж,59,Невские звёзды,3:02.18,620,1,True
278,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,55 - 59,ШПАДИ Алла,ж,59,Фитнес Хаус,3:34.40,380,2,True
279,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,БРОНИЦКАЯ Оксана,ж,53,Цунами,2:50.20,704,1,True
280,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,БАСКАКОВА Снежана,ж,51,Тройка,3:00.91,586,2,True
281,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,ВЕРБИНА Юлия,ж,52,Тройка,3:02.86,568,3,True
282,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,ВОЛЕРТ Татьяна,ж,50,ФИТкультура,3:24.54,405,5,True
283,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,45 - 49,БОГАЧЕВА Мария,ж,49,Фитнес Хаус,2:51.80,620,1,True
284,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,НОВИКОВА Анна,ж,38,Гравити Спорт,2:54.23,539,1,True
285,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,ЛЕБЕДЕВА Евгения,ж,38,ТимКулик Мастерс,2:59.26,495,2,True
286,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,ШАХОВА Мария,ж,38,Фитнес Хаус,3:04.49,454,3,True
287,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,ИВАННИКОВА Анна,ж,39,Дримтим,3:33.59,292,4,True
288,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,СЕМЕНОВА София,ж,30,Свимлайф Мастерс,2:38.52,655,1,True
289,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,ЛУТЧЕНКО Юлия,ж,33,Плыви Москва,3:16.40,344,2,True
290,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,25 - 29,БАХИРЕВА Кристина,ж,29,Фитнес Хаус,2:38.37,648,1,True
291,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,75 - 79,АНДРЕЕВ Игорь,м,79,Невские звёзды,4:18.39,378,1,True
292,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,65 - 69,ПОДМАРЕВ Тимур,м,68,Невские звёзды,2:48.19,782,1,True
293,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,65 - 69,МУЗЫЧЕНКО Сергей,м,65,Джейси Мастерс,2:56.74,673,2,True
294,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,65 - 69,ЛАПИКОВ Александр,м,69,Желтая субмарина,3:45.33,325,3,True
295,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,60 - 64,НЕНИШИН Юрий,м,61,АСМ,2:38.41,782,1,True
296,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,60 - 64,ГРЯЗНУХИН Константин,м,62,Мэд Вейв,2:38.47,782,2,True
297,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,60 - 64,КОВАЛЬ Евгений,м,61,МКМП,3:08.12,467,4,True
298,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,55 - 59,МУСТАФИН Ринат,м,56,АСМ,3:05.41,409,1,True
299,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,55 - 59,ИЛЯШЕНКОВ Игорь,м,57,АСМ,3:06.31,403,2,True
300,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,55 - 59,АЛЕКСАНДРОВ Кирилл,м,57,Невские звёзды,3:52.95,206,3,True
301,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,СЛИПЕНКО Константин,м,53,Фитнес Хаус,2:42.17,562,1,True
302,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,ИВАНОВ Михаил,м,51,Невские звёзды,3:04.80,380,2,True
303,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,50 - 54,КАРНАУШЕНКО Сергей,м,53,Фитнес Хаус,3:16.53,316,3,True
304,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,45 - 49,АЛЕКСЕЕВ Андрей,м,46,АСМ,2:30.47,656,1,True
305,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,45 - 49,ПРАВДИН Дмитрий,м,48,Гидра Мастерс,2:48.29,469,2,True
306,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,40 - 44,БАРАНОВ Вадим,м,42,Невские звёзды,2:23.86,686,1,True
307,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,40 - 44,САЛОВ Антон,м,40,Драфт,2:33.20,568,2,True
308,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,40 - 44,ПЕТРОВ Дмитрий,м,41,Фитнес Хаус,2:39.93,499,5,True
309,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,КАРПОВ Виталий,м,36,Фитнес Хаус,2:42.40,454,2,True
310,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,БУДНИКОВ Дмитрий,м,38,Волна,2:55.49,360,3,True
311,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,35 - 39,КУРАПЦЕВ Алексей,м,36,Гидра Мастерс,2:55.93,357,4,True
312,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,ИОГИН Егор,м,31,Свимлайф Мастерс,2:09.76,792,1,True
313,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,МОРОЗОВ Александр,м,32,Гидра Мастерс,2:21.34,613,3,True
314,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,ХМЕЛЕВСКИЙ Алексей,м,32,Летс Свим,2:23.95,580,4,True
315,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,КОСАРЕВ Иван,м,33,Драфт,2:35.17,463,5,True
316,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,ШАФОРОСТОВ Максим,м,34,Невские звёзды,2:38.87,431,6,True
317,04.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,200,Комплексное плавание ,30 - 34,КУСТОВ Дмитрий,м,32,Курносов Тим,2:45.40,382,7,True
318,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,70 - 74,БЕЛИНСКАЯ Наталья,ж,71,Невские звёзды,40.67,559,1,True
319,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,КЕДРОВА Ольга,ж,65,Невские звёзды,34.84,705,1,True
320,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,ОЛЕЙНИК Елена,ж,66,Гравити Спорт,38.06,541,2,True
321,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,МАЛИКОВА Марина,ж,66,Курносов Тим,40.30,456,3,True
322,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ТЕРЯЕВА Ирина,ж,60,Невские звёзды,32.55,743,1,True
323,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,СМИРНОВА Любовь,ж,60,Гидра Мастерс,39.04,431,2,True
324,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ПАВЛОВА Елена,ж,60,Невские звёзды,41.40,361,3,True
325,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ЛЫСКОВА Ольга,ж,62,Лада,42.48,334,4,True
326,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ПЛОТНИЦКАЯ Светлана,ж,57,Свимлайф Мастерс,30.82,757,1,True
327,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,БОЕВА Юлия,ж,56,Олимп,31.18,732,2,True
328,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ГОРШКОВА Ирина,ж,59,Фитнес Хаус,38.73,381,3,True
329,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,БЛИНОВА Людмила,ж,50,Лада,31.43,653,1,True
330,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,МАККАВЕЕВА Анна,ж,52,Фитнес Хаус,35.96,436,2,True
331,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,СМОЛЬЯНИНОВА Оксана,ж,51,Фитнес Хаус,37.92,372,3,True
332,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,ШЕВЧУК Людмила,ж,51,Сириус СПб,40.80,298,4,True
333,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,КОМИНА Татьяна,ж,48,Гидра Мастерс,31.11,640,2,True
334,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,БАРАНОВА Мария,ж,45,Невские звёзды,35.67,425,3,True
335,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,ШАШКИНА Надежда,ж,45,Плыви Москва,40.88,282,4,True
336,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ЦАРЬКОВА Инга,ж,42,Свимлайф Мастерс,28.92,770,1,True
337,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ПОСТНИКОВА Екатерина,ж,42,Невские звёзды,34.19,466,4,True
338,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,БЕРКОВА Светлана,ж,36,Гидра Мастерс,26.70,925,1,True
339,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,БРЫНЦЕВА Евгения,ж,37,Мэд Вейв,27.88,812,2,True
340,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ПОПОВА Юлия,ж,39,Фитнес Хаус,29.45,689,3,True
341,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,НОВИКОВА Анна,ж,38,Гравити Спорт,30.10,646,4,True
342,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ДУДИНА Анастасия,ж,36,Фитнес Хаус,31.30,574,5,True
343,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,СУРОВЦОВА Марина,ж,39,ТимКулик Мастерс,32.38,518,6,True
344,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ЛЕБЕДЕВА Евгения,ж,38,ТимКулик Мастерс,33.12,484,7,True
345,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,УСТИМЕНКО Татьяна,ж,37,Гравити Спорт,33.54,466,8,True
346,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ЛИХАЧЕВА Ксения,ж,37,Невские звёзды,35.35,398,9,True
347,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,СЕМЕНОВА София,ж,30,Свимлайф Мастерс,28.09,760,1,True
348,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,СТРУГОВА Мария,ж,30,Гидра Мастерс,29.62,648,2,True
349,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,АЛЕКСЕЕВА Анастасия,ж,34,Невские звёзды,30.13,616,3,True
350,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,НОВОПАШИНА Екатерина,ж,32,Гидра Мастерс,30.17,613,4,True
351,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,СОРОКИНА Татьяна,ж,30,Фитнес Хаус,31.57,535,5,True
352,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,ТРУШНИКОВА Наталья,ж,31,Фитнес Хаус,32.63,485,7,True
353,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,25 - 29,ГИЛЯЗЕВА Елена,ж,25,Фитнес Хаус,28.18,721,1,True
354,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,25 - 29,РАЗУВАЕВА Анна,ж,28,ЦСКА,28.41,704,2,True
355,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,25 - 29,ОРЛОВА Мария,ж,25,Фитнес Хаус,29.98,599,3,True
356,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,25 - 29,ДАНИЛЕВИЧ Дарья,ж,26,Невские звёзды,32.16,485,4,True
357,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,85 - 89,ЛАШОВ Олег,м,86,Посейдон,1:01.28,222,1,True
358,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,75 - 79,ПЕТКАУ Олег,м,78,Невские звёзды,34.62,698,1,True
359,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,75 - 79,НЕФЕДОВ Владимир,м,76,Невские звёзды,36.69,586,2,True
360,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,70 - 74,СТРАЖИН Николай,м,73,Драфт,32.87,662,2,True
361,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,70 - 74,ПЕТРОВ Андрей,м,71,Фитнес Хаус,39.14,392,4,True
362,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,МУЗЫЧЕНКО Сергей,м,65,Джейси Мастерс,28.85,797,1,True
363,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,АНДРЕЕВ Александр,м,65,Невские звёзды,29.87,718,2,True
364,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,ДЕРЕВЯНКИН Виталий,м,65,Невские звёзды,30.83,653,3,True
365,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,БУБЛИКОВ Константин,м,66,Невские звёзды,31.51,611,4,True
366,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,ЕЛЬЧАНИНОВ Владимир,м,66,Драфт,31.97,585,5,True
367,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,ПУЛИНЕЦ Вадим,м,66,Невские звёзды,32.81,541,6,True
368,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,АНТИПОВ Александр,м,69,Солнечногорье,34.72,457,7,True
369,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,КАНАЕВ Николай,м,69,Сириус СПб,36.95,379,8,True
370,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,65 - 69,МЯКИШЕВ Артемий,м,68,МКМП,42.36,251,9,True
371,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ТРУСОВ Алексей,м,61,Спрут,28.59,713,1,True
372,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,СТАСЬКО Андрей,м,62,Фитнес Хаус,30.36,596,2,True
373,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,СМИРНОВ Игорь,м,60,Фитнес Хаус,30.52,586,3,True
374,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,СИЗИКОВ Геннадий,м,62,Мордовские Лисы,30.85,568,4,True
375,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,АНДРОСОВ Сергей,м,62,КВСП,31.18,550,5,True
376,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ЛЫСКОВ Александр,м,61,ЦСКА,33.12,459,6,True
377,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ЕВДОКИМОВ Юрий,м,63,Фитнес Хаус,33.17,457,7,True
378,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,ПАВЛОВ Роман,м,63,Спрут,35.07,386,8,True
379,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,60 - 64,МОСКАЛЕНКО Александр,м,63,Джейси Мастерс,35.35,377,9,True
380,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,БАЛЯКОВ Дмитрий,м,59,Невские звёзды,26.99,775,2,True
381,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,КУЛИК Михаил,м,57,Гравити Спорт,27.89,703,3,True
382,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ЗАХАРОВ Александр,м,57,Фитнес Хаус,29.79,576,5,True
383,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,БЕЛОЗЕРЦЕВ Юрий,м,56,Касатка,29.80,576,6,True
384,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ЗАЙЧЕНКО Дмитрий,м,55,Фитнес Хаус,29.89,571,7,True
385,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ИЛЯШЕНКОВ Игорь,м,57,АСМ,30.22,552,8,True
386,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,55 - 59,ТИТОВ Константин,м,57,АСМ,31.24,500,9,True
387,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,РАСПОПОВ Владимир,м,52,Спрут,26.48,727,1,True
388,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,50 - 54,РУДАКОВ Александр,м,50,КВСП,27.39,656,2,True
389,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,ШИЛИН Александр,м,49,Невские звёзды,24.84,856,1,True
390,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,ПОТЁМКИН Евгений,м,47,АСМ,25.46,795,2,True
391,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,СЛАБЧУК Юрий,м,46,Гидра Мастерс,25.55,787,3,True
392,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,БОНДАРЕНКО Павел,м,49,Сириус СПб,26.23,727,4,True
393,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,ПОЗДЯЕВ Евгений,м,47,Радуга,26.55,701,5,True
394,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,МАРКОВ Сергей,м,46,Свимлайф Мастерс,26.76,685,6,True
395,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,КОРЧИН Денис,м,48,Фитнес Хаус,28.07,593,7,True
396,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,45 - 49,ШЕБАШОВ Сергей,м,47,Тройка,28.92,542,9,True
397,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ЧУНАЕВ Игорь,м,43,Сибмастерс,24.52,823,1,True
398,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,МИХАЙЛОВ Владимир,м,42,АСМ,26.49,652,3,True
399,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,САЛОВ Антон,м,40,Драфт,27.46,586,4,True
400,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ВЕРТЯНКИН Александр,м,40,Курносов Тим,27.55,580,5,True
401,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ПЕТРОВ Дмитрий,м,41,Фитнес Хаус,27.62,575,6,True
402,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,МАЛИНОВСКИЙ Александр,м,40,Драфт,27.81,564,7,True
403,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,40 - 44,ПАВЛОВ Алексей,м,42,Гидра Мастерс,27.86,561,8,True
404,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,БОБОВИК Юрий,м,36,Гидра Мастерс,25.15,690,1,True
405,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,МАРТЫНОВ Максим,м,38,Невские звёзды,26.37,599,2,True
406,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,АЛЕКСАШИН Александр,м,38,Сириус СПб,27.36,536,3,True
407,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ПРОХОРЕНКО Федор,м,39,Гидра Мастерс,27.38,535,4,True
408,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,МАРТЫНОВ Владимир,м,37,Невские звёзды,27.85,508,5,True
409,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,ЕЛИЗАРОВ Павел,м,37,Плыви Москва,27.99,500,6,True
410,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,БУДНИКОВ Дмитрий,м,38,Волна,29.66,421,7,True
411,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,КРИЕВС Кирилл,м,36,Летс Свим,29.95,408,8,True
412,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,35 - 39,БОГОЯВЛЕНСКИЙ Николай,м,35,Гидра Мастерс,30.33,393,9,True
413,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,МУМИНОВ Диор,м,30,Гравити Спорт,23.44,831,1,True
414,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,ГУСЕВ Владимир,м,31,Фитнес Хаус,23.82,792,2,True
415,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,КОЛЕСНИКОВ Станислав,м,32,Свимлайф Мастерс,23.91,783,3,True
416,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,ИВАНЮК Анатолий,м,34,Гравити Спорт,24.05,769,4,True
417,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,ТИХОМИРОВ Александр,м,34,Гравити Спорт,24.82,700,5,True
418,05.01.2025,Рождественский Кубок 2025,Санкт-Петербург,25,50,Вольный стиль ,30 - 34,ЛУКЬЯНЕНКО Кирилл,м,31,Свимлайф Мастерс,25.31,660,6,True
